Date,Open,High,Low,Volume,Close
2023-12-20,42261.3,44275.59,42223.82,27868908174.0,43652.25
2023-12-19,42641.51,43354.3,41826.34,23171001281.0,42270.53
2023-12-18,41348.2,42720.3,40530.26,25224642008.0,42623.54
2023-12-17,42236.11,42359.5,41274.54,16678702876.0,41364.66
2023-12-16,41937.74,42664.95,41723.11,14386729590.0,42240.12
2023-12-15,43028.25,43087.82,41692.97,19639442462.0,41929.76
2023-12-14,42884.26,43390.86,41767.09,25578530178.0,43023.97
2023-12-13,41468.46,43429.78,40676.87,26797884674.0,42890.74
2023-12-12,41238.73,42048.3,40667.56,24779520132.0,41450.22
2023-12-11,43792.02,43808.38,40234.58,40632672038.0,41243.83
2023-12-10,43728.38,44034.63,43593.29,13000481418.0,43779.7
2023-12-09,44180.02,44361.26,43627.6,17368210171.0,43725.98
2023-12-08,43293.14,44705.52,43125.3,24421116687.0,44166.6
2023-12-07,43769.13,44042.59,42880.65,27635760671.0,43292.66
2023-12-06,44080.02,44265.77,43478.08,29909761586.0,43746.45
2023-12-05,41986.27,44408.66,41421.15,36312154535.0,44080.65
2023-12-04,39978.63,42371.75,39978.63,39856129827.0,41980.1
2023-12-03,39472.21,40135.61,39298.16,15769696322.0,39978.39
2023-12-02,38689.28,39678.94,38652.59,15534035612.0,39476.33
2023-12-01,37718.01,38954.11,37629.36,23512784002.0,38688.75
2023-11-30,37861.12,38141.75,37531.14,18115982627.0,37712.75
2023-11-29,37826.11,38366.11,37612.63,20728546658.0,37858.49
2023-11-28,37247.99,38368.48,36891.09,21696137014.0,37831.09
2023-11-27,37454.19,37559.36,36750.13,19002925720.0,37254.17
2023-11-26,37796.83,37820.3,37162.75,13744796068.0,37479.12
2023-11-25,37721.41,37892.43,37617.42,9099571165.0,37796.79
2023-11-24,37296.32,38415.34,37261.61,22922957823.0,37720.28
2023-11-23,37420.43,37643.92,36923.86,14214948217.0,37289.62
2023-11-22,35756.55,37856.98,35670.97,24397247860.0,37432.34
2023-11-21,37469.16,37631.14,35813.81,25172163756.0,35813.81
2023-11-20,37374.07,37756.82,36882.53,20888209068.0,37476.96
2023-11-19,36585.77,37509.36,36414.6,12915986553.0,37386.55
2023-11-18,36625.37,36839.28,36233.31,11886022717.0,36585.7
2023-11-17,36164.82,36704.48,35901.23,22445028430.0,36596.68
2023-11-16,37879.98,37934.63,35545.47,26007385366.0,36154.77
2023-11-15,35548.11,37964.89,35383.78,27365821679.0,37880.58
2023-11-14,36491.79,36753.35,34948.5,23857403554.0,35537.64
2023-11-13,37070.3,37405.12,36399.61,19057712790.0,36502.36
2023-11-12,37133.99,37227.69,36779.12,11545715999.0,37054.52
2023-11-11,37310.07,37407.09,36773.67,13924272142.0,37138.05
2023-11-10,36702.25,37493.8,36362.75,22711265155.0,37313.97
2023-11-09,35633.63,37926.26,35592.1,37762672382.0,36693.13
2023-11-08,35419.48,35994.42,35147.8,17295394918.0,35655.28
2023-11-07,35047.79,35892.42,34545.82,18834737789.0,35443.56
2023-11-06,35044.79,35286.03,34765.36,12693436420.0,35037.37
2023-11-05,35090.01,35340.34,34594.24,12412743996.0,35049.36
2023-11-04,34736.32,35256.03,34616.69,9561294264.0,35082.2
2023-11-03,34942.47,34942.47,34133.44,17158456701.0,34732.32
2023-11-02,35441.58,35919.84,34401.57,20998158544.0,34938.24
2023-11-01,34657.27,35527.93,34170.69,22446272005.0,35437.25
2023-10-31,34500.08,34719.25,34083.31,15758270810.0,34667.78
2023-10-30,34531.74,34843.93,34110.97,17184860315.0,34502.36
2023-10-29,34089.37,34743.26,33947.57,11160323986.0,34538.48
2023-10-28,33907.72,34399.39,33874.8,10160330825.0,34089.57
2023-10-27,34156.5,34238.21,33416.89,16418032871.0,33909.8
2023-10-26,34504.29,34832.91,33762.32,19427195376.0,34156.65
2023-10-25,33916.04,35133.76,33709.11,25254318008.0,34502.82
2023-10-24,33077.3,35150.43,32880.76,44934999645.0,33901.53
2023-10-23,30140.69,34370.44,30097.83,38363572311.0,33086.23
2023-10-22,29918.65,30199.43,29720.31,10446520040.0,29993.9
2023-10-21,29683.38,30287.48,29481.75,11541146996.0,29918.41
2023-10-20,28732.81,30104.09,28601.67,21536125230.0,29682.95
2023-10-19,28332.42,28892.47,28177.99,14448058195.0,28719.81
2023-10-18,28413.53,28889.01,28174.25,12724128586.0,28328.34
2023-10-17,28522.1,28618.75,28110.19,14872527508.0,28415.75
2023-10-16,27162.63,29448.14,27130.47,27833876539.0,28519.47
2023-10-15,26858.01,27289.17,26817.89,7098201980.0,27159.65
2023-10-14,26866.2,26969.0,26814.59,5388116782.0,26861.71
2023-10-13,26752.88,27092.7,26686.32,15165312851.0,26862.38
2023-10-12,26873.29,26921.44,26558.32,9392909295.0,26756.8
2023-10-11,27392.08,27474.12,26561.1,13648094333.0,26873.32
2023-10-10,27589.2,27715.85,27301.65,9973350678.0,27391.02
2023-10-09,27934.47,27989.47,27302.56,12007668568.0,27583.68
2023-10-08,27971.68,28102.17,27740.66,7916875290.0,27935.09
2023-10-07,27946.78,28028.09,27870.42,6553044316.0,27968.84
2023-10-06,27412.12,28252.54,27215.55,13492391599.0,27946.6
2023-10-05,27798.65,28091.86,27375.6,11877253670.0,27415.91
2023-10-04,27429.07,27826.66,27248.11,11143355314.0,27799.39
2023-10-03,27508.25,27667.19,27216.0,11407814187.0,27429.98
2023-10-02,27976.8,28494.46,27347.79,19793041322.0,27530.79
2023-10-01,26967.4,28047.24,26965.09,9503917434.0,27983.75
2023-09-30,26911.69,27091.79,26888.97,5331172801.0,26967.92
2023-09-29,27024.84,27225.94,26721.76,10396435377.0,26911.72
2023-09-28,26355.81,27259.5,26327.32,14079002707.0,27021.55
2023-09-27,26209.5,26817.84,26111.46,11718380997.0,26352.72
2023-09-26,26294.76,26389.88,26090.71,9985498161.0,26217.25
2023-09-25,26253.78,26421.51,26011.47,11997833257.0,26298.48
2023-09-24,26579.37,26716.06,26221.05,8192867686.0,26256.83
2023-09-23,26578.56,26634.19,26520.52,7404700301.0,26579.39
2023-09-22,26564.06,26726.08,26495.53,10578746709.0,26579.57
2023-09-21,27129.84,27152.94,26389.3,13371443708.0,26567.63
2023-09-20,27210.23,27379.51,26864.08,13281116604.0,27132.01
2023-09-19,26760.85,27488.76,26681.61,13807690550.0,27211.12
2023-09-18,26532.99,27414.73,26415.52,15615339655.0,26754.28
2023-09-17,26567.93,26618.0,26445.07,6774210670.0,26534.19
2023-09-16,26606.2,26754.77,26473.89,7402031417.0,26568.28
2023-09-15,26533.82,26840.5,26240.7,11479735788.0,26608.69
2023-09-14,26228.28,26774.62,26171.45,13811359124.0,26539.67
2023-09-13,25837.55,26376.11,25781.12,13072077070.0,26228.32
2023-09-12,25160.66,26451.94,25133.08,18657279324.0,25833.34
2023-09-11,25831.71,25883.95,24930.3,14600006467.0,25162.65
2023-09-10,25895.21,25978.13,25640.26,7899553047.0,25832.23
2023-09-09,25905.43,25921.98,25810.49,5481314132.0,25895.68
2023-09-08,26245.21,26414.01,25677.48,10817356400.0,25905.65
